date,ff5_mkt_rf,ff5_smb,ff5_hml,ff5_rmw,ff5_cma,ff5_rf,ff5_mom
2014-01-02,-0.0088,-0.0025,0.0017,-0.0032,0.0011,0.0,-0.0004
2014-01-03,0.0003,0.0041,0.0003,-0.0035,0.0015,0.0,0.0024
2014-01-06,-0.0034,-0.0055,0.003,-0.0032,0.0005,0.0,-0.001
2014-01-07,0.0068,0.0032,-0.0038,-0.0008,-0.003,0.0,0.0051
2014-01-08,0.0004,-0.0001,-0.001,-0.0047,-0.0007,0.0,0.0064
2014-01-09,0.0002,0.0018,-0.0045,-0.0053,-0.0042,0.0,0.0077
2014-01-10,0.0027,0.0045,-0.0081,-0.0028,-0.0036,0.0,-0.0015
2014-01-13,-0.0132,-0.001,0.001,-0.001,0.0046,0.0,-0.0053
2014-01-14,0.0115,0.001,-0.003,-0.0009,-0.0035,0.0,0.0056
2014-01-15,0.0053,0.0023,0.0021,-0.0042,-0.0002,0.0,-0.0039
2014-01-16,-0.0007,0.0025,-0.007,-0.0002,-0.0027,0.0,-0.0005
2014-01-17,-0.0039,0.0,0.0003,-0.0019,0.0002,0.0,-0.0001
2014-01-21,0.003,0.0043,0.0,-0.0025,-0.0033,0.0,-0.0004
2014-01-22,0.0015,0.0031,0.0022,-0.0017,-0.0018,0.0,0.0029
2014-01-23,-0.0086,0.0009,-0.0052,0.0019,-0.001,0.0,-0.0055
2014-01-24,-0.0218,-0.0038,0.0018,0.0022,0.0007,0.0,-0.0101
2014-01-27,-0.0065,-0.0078,0.0039,0.0045,0.0039,0.0,-0.0057
2014-01-28,0.0073,0.0017,0.0003,-0.0083,0.0015,0.0,0.0082
2014-01-29,-0.0107,-0.0033,0.0023,0.0015,0.0013,0.0,-0.0054
2014-01-30,0.0122,0.0021,-0.0038,-0.0088,-0.0053,0.0,0.012
2014-01-31,-0.0066,-0.001,-0.0032,0.0021,-0.0021,0.0,0.001
2014-02-03,-0.0248,-0.0084,0.0029,0.0022,0.0005,0.0,-0.0087
2014-02-04,0.0077,-0.0005,-0.0005,-0.0014,0.0022,0.0,0.0045
2014-02-05,-0.0023,-0.0058,0.002,0.0015,0.0024,0.0,-0.0009
2014-02-06,0.0122,-0.0042,0.0028,0.0004,-0.0005,0.0,0.0017
2014-02-07,0.0133,-0.0023,-0.0065,-0.0042,-0.005,0.0,0.0058
2014-02-10,0.0016,0.0006,-0.0047,-0.003,-0.0018,0.0,-0.001
2014-02-11,0.011,-0.0017,0.0025,0.0001,0.0009,0.0,0.0007
2014-02-12,0.0011,0.0025,-0.0005,0.0018,0.0001,0.0,0.0027
2014-02-13,0.0072,0.0067,-0.0008,-0.0019,-0.0034,0.0,0.0038
2014-02-14,0.0042,-0.0033,0.0037,0.0037,0.0034,0.0,-0.0033
2014-02-18,0.0027,0.0094,-0.0026,-0.0032,-0.0028,0.0,0.007
2014-02-19,-0.0074,-0.0033,-0.0044,0.003,0.0001,0.0,-0.0034
2014-02-20,0.0071,0.0053,-0.0021,-0.0007,-0.0023,0.0,0.0049
2014-02-21,-0.0009,0.0035,-0.0003,0.0001,-0.0005,0.0,0.0023
2014-02-24,0.0065,0.0021,0.0033,-0.0017,-0.0001,0.0,0.0039
2014-02-25,-0.001,0.0005,-0.006,-0.0007,0.0007,0.0,0.0011
2014-02-26,0.0013,0.0065,-0.0008,-0.0002,0.0003,0.0,-0.001
2014-02-27,0.0054,0.0009,0.0,-0.0024,-0.0005,0.0,0.0004
2014-02-28,0.0015,-0.0066,0.0084,0.0042,0.0013,0.0,-0.0024
2014-03-03,-0.007,0.001,0.0014,0.0004,0.001,0.0,-0.0006
2014-03-04,0.0167,0.0107,-0.0013,-0.0046,-0.0015,0.0,0.008
2014-03-05,0.0001,-0.0021,0.0028,-0.0057,-0.0011,0.0,0.0035
2014-03-06,0.0016,-0.0023,0.0077,0.0032,0.0036,0.0,-0.005
2014-03-07,0.0004,-0.0002,0.0052,0.0017,0.0034,0.0,-0.0025
2014-03-10,-0.0009,-0.0007,0.0008,0.0002,-0.0013,0.0,0.0
2014-03-11,-0.0062,-0.0055,-0.0019,0.0045,-0.0004,0.0,-0.0008
2014-03-12,0.0013,0.0029,-0.0017,-0.0011,-0.0044,0.0,-0.0005
2014-03-13,-0.0121,-0.0006,0.0022,0.0015,0.0004,0.0,-0.0033
2014-03-14,-0.0016,0.0066,-0.001,0.0017,0.0004,0.0,-0.0015
2014-03-17,0.009,-0.0035,0.0002,0.0015,0.0004,0.0,0.0024
2014-03-18,0.0082,0.0068,-0.0039,-0.0032,-0.003,0.0,0.0049
2014-03-19,-0.0059,-0.0012,0.0062,-0.0039,0.0003,0.0,-0.0011
2014-03-20,0.0052,-0.0036,0.0099,-0.0017,0.0033,0.0,-0.0016
2014-03-21,-0.0037,-0.0016,0.0087,0.0047,0.0045,0.0,-0.011
2014-03-24,-0.0064,-0.0078,0.0092,0.0065,0.0038,0.0,-0.0101
2014-03-25,0.0029,-0.0034,0.0014,0.0028,0.0014,0.0,-0.0025
2014-03-26,-0.0089,-0.0111,0.0026,0.0065,0.0046,0.0,-0.0084
2014-03-27,-0.0018,-0.0012,-0.0034,0.0014,0.0,0.0,-0.0045
2014-03-28,0.0041,-0.0037,0.0055,0.0056,0.0031,0.0,-0.0047
2014-03-31,0.0096,0.0099,-0.0018,-0.0021,0.0004,0.0,0.0072
2014-04-01,0.0087,0.0065,-0.0037,-0.0019,-0.0028,0.0,0.0098
2014-04-02,0.003,0.0004,0.0015,0.0007,0.0004,0.0,-0.001
2014-04-03,-0.0031,-0.0077,0.0081,0.0056,0.004,0.0,-0.0106
2014-04-04,-0.0147,-0.0101,0.007,0.0064,0.0048,0.0,-0.0166
2014-04-07,-0.0125,-0.0035,-0.0006,0.002,0.0003,0.0,-0.0104
2014-04-08,0.0049,0.0029,-0.0022,0.0006,-0.0014,0.0,-0.0014
2014-04-09,0.0121,0.0022,-0.0086,-0.0046,-0.0053,0.0,0.0138
2014-04-10,-0.0224,-0.0061,0.0079,0.0084,0.0076,0.0,-0.0185
2014-04-11,-0.0107,-0.0038,0.0024,0.0043,0.0003,0.0,-0.0052
2014-04-14,0.0071,-0.0048,0.002,0.0032,-0.002,0.0,-0.0016
2014-04-15,0.006,-0.0035,0.0019,-0.0004,-0.0017,0.0,0.0
2014-04-16,0.0112,0.0001,-0.0037,-0.0005,-0.0009,0.0,0.0091
2014-04-17,0.0023,0.0032,0.0023,-0.0018,0.0016,0.0,0.0038
2014-04-21,0.0038,0.0017,-0.0043,0.0004,-0.0009,0.0,0.0018
2014-04-22,0.0057,0.0069,-0.0035,-0.0069,-0.0009,0.0,0.0072
2014-04-23,-0.0031,-0.0054,0.0091,0.0019,0.0024,0.0,-0.0027
2014-04-24,0.0008,-0.0042,-0.0016,0.0019,-0.0019,0.0,-0.005
2014-04-25,-0.0105,-0.0089,0.0056,0.0081,0.0068,0.0,-0.0127
2014-04-28,0.0012,-0.0065,-0.0058,0.0116,0.0004,0.0,-0.0118
2014-04-29,0.0057,-0.0024,-0.0013,-0.0057,-0.0025,0.0,0.007
2014-04-30,0.0035,0.0021,-0.0005,0.0008,0.0003,0.0,0.0052
2014-05-01,0.0004,-0.0016,-0.0017,-0.0048,-0.0019,0.0,0.0007
2014-05-02,-0.0008,0.0027,0.0041,0.0034,0.0019,0.0,0.0013
2014-05-05,0.0013,-0.0037,-0.0055,0.0014,-0.0028,0.0,0.0041
2014-05-06,-0.0103,-0.0051,0.0014,0.0085,0.0015,0.0,-0.0043
2014-05-07,0.0045,-0.0072,0.0111,-0.0001,0.0057,0.0,-0.0018
