date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
ttm,NVDA,"3,514,734,724,207","3,472,328,724,207",46.49,33.557,1.787,24.002,41.92,23.38,38.171
05/31/2025,NVDA,"3,295,490,586,193","3,253,084,586,193",,,,,,,
04/30/2025,NVDA,"2,656,292,715,519","2,623,352,715,519",37.048,24.814,1.533,20.703,33.485,,
03/31/2025,NVDA,"2,650,613,737,015","2,617,673,737,015",36.864,24.155,1.045,20.6,33.414,,
02/28/2025,NVDA,"3,048,048,000,000","3,015,108,000,000",42.49,28.249,1.222,23.744,38.424,,
01/31/2025,NVDA,"2,938,953,390,000","2,910,691,390,000",47.402,28.09,0.861,26.356,44.598,,
12/31/2024,NVDA,"3,288,762,100,000","3,260,500,100,000",53.016,31.348,0.963,29.477,49.906,,
11/30/2024,NVDA,"3,385,742,500,000","3,357,480,500,000",54.58,32.468,0.861,30.346,51.378,,
10/31/2024,NVDA,"3,253,682,080,000","3,228,897,080,000",62.241,33.898,1.026,34.326,55.947,,
09/30/2024,NVDA,"2,978,923,200,000","2,954,138,200,000",56.934,43.29,1.306,31.399,51.222,,
08/31/2024,NVDA,"2,928,146,100,000","2,903,361,100,000",55.963,42.553,1.288,30.864,50.349,,
07/31/2024,NVDA,"2,874,245,240,000","2,854,044,240,000",68.473,44.643,1.329,36.581,58.489,,
06/30/2024,NVDA,"3,038,879,166,973","3,018,678,166,973",72.288,47.17,1.403,38.619,61.839,,
05/31/2024,NVDA,"2,696,790,025,197","2,676,589,025,197",64.15,42.194,1.373,34.271,54.877,,
04/30/2024,NVDA,"2,125,345,942,891","2,110,417,942,891",72.424,35.714,1.159,35.371,49.452,,
03/31/2024,NVDA,"2,226,124,789,528","2,211,196,789,528",75.738,37.453,1.218,36.99,51.797,,
02/29/2024,NVDA,"1,977,800,000,000","1,962,872,000,000",66.313,33.003,1.258,32.387,46.019,,
01/31/2024,NVDA,"1,516,025,280,000","1,508,771,280,000",81.17,30.395,0.603,34.14,45.574,,
12/31/2023,NVDA,"1,223,193,400,000","1,215,939,400,000",65.332,25.063,0.498,27.479,36.771,,
11/30/2023,NVDA,"1,155,219,000,000","1,147,965,000,000",61.702,23.641,0.47,25.952,34.728,,
10/31/2023,NVDA,"1,005,634,800,000","1,000,565,800,000",98.502,24.51,0.822,31.089,36.567,,
09/30/2023,NVDA,"1,074,425,300,000","1,069,356,300,000",105.07,41.152,1.378,33.162,39.069,,
08/31/2023,NVDA,"1,219,068,500,000","1,213,999,500,000",119.215,47.393,1.594,37.627,44.328,,
07/31/2023,NVDA,"1,153,739,010,000","1,150,499,010,000",243.38,62.893,2.655,45.058,47.053,,
06/30/2023,NVDA,"1,044,859,400,000","1,041,619,400,000",220.323,55.866,2.356,40.789,42.613,,
05/31/2023,NVDA,"934,499,800,000","931,259,800,000",197.052,51.814,2.185,36.481,38.112,,
04/30/2023,NVDA,"686,268,648,069","685,003,648,069",159.477,61.728,3.449,25.79,31.05,,
03/31/2023,NVDA,"686,091,900,000","684,826,900,000",159.638,61.728,3.452,25.816,31.043,,
02/28/2023,NVDA,"573,435,200,000","572,170,200,000",133.425,52.632,2.954,21.577,25.946,,
01/31/2023,NVDA,"481,782,420,000","480,387,420,000",83.136,45.455,4.644,17.261,22.568,,
12/31/2022,NVDA,"359,504,400,000","358,109,400,000",62.187,33.898,3.474,12.911,16.839,,
11/30/2022,NVDA,"416,305,800,000","414,910,800,000",72.013,38.911,3.988,14.951,19.5,,
10/31/2022,NVDA,"333,105,960,000","327,761,960,000",44.108,29.762,2.579,11.499,13.966,,
09/30/2022,NVDA,"302,261,100,000","296,917,100,000",39.67,36.101,3.126,10.342,12.673,,
08/31/2022,NVDA,"375,840,600,000","370,496,600,000",49.327,44.444,3.844,12.859,15.758,,
07/31/2022,NVDA,"454,075,000,000","445,436,000,000",48.694,34.014,2.648,15.6,17.176,,
06/30/2022,NVDA,"378,975,000,000","370,336,000,000",40.641,27.701,2.155,13.02,14.399,,
05/31/2022,NVDA,"466,800,000,000","458,161,000,000",50.059,33.898,2.64,16.037,17.736,,
04/30/2022,NVDA,"464,419,541,679","454,898,541,679",48.174,33.223,2.443,17.469,17.452,,
03/31/2022,NVDA,"683,230,254,377","673,709,254,377",70.873,48.309,3.563,25.7,25.674,,
02/28/2022,NVDA,"611,088,100,000","601,567,100,000",63.338,43.668,3.221,22.968,22.963,,
01/31/2022,NVDA,"613,619,160,000","606,148,160,000",75.458,47.619,2.61,25.551,25.784,,
12/31/2021,NVDA,"735,275,000,000","727,804,000,000",90.635,57.143,3.135,30.69,30.897,,
11/30/2021,NVDA,"816,900,000,000","809,429,000,000",100.696,63.694,3.483,34.098,34.326,,
10/31/2021,NVDA,"639,175,000,000","632,312,000,000",91.474,54.945,3.841,29.523,30.25,,
09/30/2021,NVDA,"517,900,000,000","511,037,000,000",74.118,51.02,3.577,23.921,24.49,,
08/31/2021,NVDA,"559,625,000,000","552,762,000,000",80.089,55.556,3.885,25.849,26.464,,
07/31/2021,NVDA,"485,915,080,000","480,986,080,000",92.194,50,3.504,25.538,25.882,,
06/30/2021,NVDA,"498,462,300,000","493,533,300,000",94.574,51.282,3.612,26.198,26.551,,
05/31/2021,NVDA,"404,812,940,000","399,883,940,000",76.806,41.841,3.001,21.276,21.562,,
04/30/2021,NVDA,"373,666,674,773","369,823,674,773",87.012,43.478,3.731,22.611,22.12,,
03/31/2021,NVDA,"332,288,733,125","328,445,733,125",77.381,40,3.427,20.108,19.67,,
02/28/2021,NVDA,"340,119,600,000","336,276,600,000",79.504,41.152,3.534,20.66,20.134,,
01/31/2021,NVDA,"321,626,210,000","319,168,210,000",84.9,46.083,2.883,21.968,21.009,,
12/31/2020,NVDA,"323,241,800,000","320,783,800,000",85.327,46.296,2.897,22.078,21.08,,
12/04/2020,NVDA,"335,702,270,000","333,244,270,000",,,,,,,
11/30/2020,NVDA,"331,821,140,000","329,363,140,000",87.592,47.393,2.974,22.664,21.64,,
11/27/2020,NVDA,"328,348,550,000","325,890,550,000",,,,,,,
11/20/2020,NVDA,"324,052,690,000","321,594,690,000",,,,,,,
11/12/2020,NVDA,"332,496,847,496","329,210,847,496",,,,,,,
10/31/2020,NVDA,"310,341,840,000","307,055,840,000",91.993,46.729,3.131,23.869,22.304,,
10/28/2020,NVDA,"311,994,923,985","308,708,923,985",,,,,,,
10/22/2020,NVDA,"330,131,003,355","326,845,003,355",,,,,,,
09/30/2020,NVDA,"334,319,103,427","331,033,103,427",99.306,60.976,4.076,25.766,24.028,,
09/24/2020,NVDA,"305,101,237,140","301,815,237,140",,,,,,,
09/10/2020,NVDA,"303,853,990,000","300,567,990,000",,,,,,,
08/31/2020,NVDA,"330,082,660,000","326,796,660,000",98.161,62.112,4.852,25.469,23.723,,
07/31/2020,NVDA,"261,972,030,000","253,196,030,000",79.363,53.476,4.178,22.333,19.999,,
07/14/2020,NVDA,"255,274,200,000","246,498,200,000",,,,,,,
07/09/2020,NVDA,"258,521,400,000","249,745,400,000",,,,,,,
06/30/2020,NVDA,"233,644,650,000","224,868,650,000",71.011,47.847,3.738,19.983,17.837,,
05/31/2020,NVDA,"218,337,300,000","209,561,300,000",66.359,45.045,3.522,18.673,16.668,,
04/30/2020,NVDA,"179,752,200,000","171,498,200,000",64.664,39.526,3.745,16.544,14.729,,
03/31/2020,NVDA,"162,142,549,988","153,888,549,988",58.319,35.088,3.328,14.921,13.286,,
02/29/2020,NVDA,"165,282,840,000","157,028,840,000",59.75,35.088,3.321,15.287,13.543,,
01/31/2020,NVDA,"144,695,160,000","137,474,160,000",60.468,32.787,5.103,14.591,12.913,,
12/31/2019,NVDA,"144,003,600,000","136,782,600,000",60.179,32.787,5.1,14.521,12.841,,
11/30/2019,NVDA,"132,644,880,000","125,423,880,000",55.432,30.212,4.698,13.376,11.829,,
10/31/2019,NVDA,"123,024,240,000","117,105,240,000",45.377,28.09,3.115,12.227,11.903,,
09/30/2019,NVDA,"106,008,630,000","100,089,630,000",39.293,33.445,3.706,10.588,10.256,,
08/31/2019,NVDA,"102,013,590,000","96,094,590,000",37.813,32.154,3.563,10.189,9.87,,
07/31/2019,NVDA,"102,750,480,000","97,502,480,000",31.894,32.258,3.615,9.785,10.588,,
06/30/2019,NVDA,"100,016,070,000","94,768,070,000",31.045,31.25,3.498,9.525,10.307,,
05/31/2019,NVDA,"82,495,140,000","77,247,140,000",25.607,25.773,2.886,7.856,8.501,,
04/30/2019,NVDA,"110,229,000,000","104,795,000,000",27.3,34.014,3.842,9.656,11.799,,
03/31/2019,NVDA,"109,261,250,154","103,827,250,154",27.083,33.67,3.811,9.579,11.696,,
02/28/2019,NVDA,"93,481,560,000","88,047,560,000",23.267,29.07,3.281,8.229,10.007,,
01/31/2019,NVDA,"87,112,500,000","81,511,500,000",19.218,22.472,2.066,7.253,9.194,,
12/31/2018,NVDA,"81,435,000,000","75,834,000,000",17.848,18.692,1.728,6.736,8.595,,
11/30/2018,NVDA,"99,692,300,000","94,091,300,000",21.849,22.124,2.047,8.246,10.522,,
10/31/2018,NVDA,"128,184,640,000","122,242,640,000",30.778,24.155,2.209,11.13,14.575,,
09/30/2018,NVDA,"170,860,160,000","164,918,160,000",41.025,37.037,3.382,14.835,19.427,,
08/31/2018,NVDA,"170,653,440,000","164,711,440,000",40.975,37.037,3.378,14.817,19.403,,
07/31/2018,NVDA,"148,630,020,000","143,330,020,000",40.742,33.113,2.935,14.011,19.26,,
06/30/2018,NVDA,"143,798,300,000","138,498,300,000",39.418,32.051,2.839,13.555,18.634,,
