date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio
ttm,BRK-B,"1,043,126,132,823","1,126,873,132,823",12.887,24.691,,2.509,1.594,2.71
05/31/2025,BRK-B,"1,088,003,395,190","1,171,750,395,190",,,,,,
04/30/2025,BRK-B,"1,150,760,057,206","1,227,793,057,206",12.922,26.525,,2.712,1.772,
03/31/2025,BRK-B,"1,148,720,565,130","1,225,753,565,130",12.906,26.596,,2.708,1.769,
02/28/2025,BRK-B,"1,110,827,540,135","1,187,860,540,135",12.451,25.707,,2.613,1.707,
01/31/2025,BRK-B,"1,010,863,889,072","1,098,189,889,072",9.475,23.923,,2.233,1.607,
12/31/2024,BRK-B,"978,424,433,805","1,065,750,433,805",9.164,23.042,,2.16,1.554,
11/30/2024,BRK-B,"1,041,319,663,238","1,128,645,663,238",9.765,24.57,,2.302,1.656,
10/31/2024,BRK-B,"972,689,176,925","1,053,993,176,925",14.331,22.075,,2.42,1.616,
09/30/2024,BRK-B,"992,946,440,384","1,074,250,440,384",14.628,19.881,,2.47,1.65,
08/31/2024,BRK-B,"1,026,413,843,283","1,107,717,843,283",15.126,20.704,,2.554,1.705,
07/31/2024,BRK-B,"945,794,759,082","1,032,999,759,082",12.933,19.881,,2.312,1.654,
06/30/2024,BRK-B,"877,880,810,303","965,085,810,303",11.998,18.484,,2.145,1.534,
05/31/2024,BRK-B,"896,374,864,115","983,579,864,115",12.222,18.832,,2.185,1.563,
04/30/2024,BRK-B,"857,507,860,757","947,756,860,757",8.961,17.544,,1.963,1.523,
03/31/2024,BRK-B,"908,919,491,084","999,168,491,084",9.498,18.832,,2.08,1.615,
03/29/2024,BRK-B,"908,919,491,084","999,168,491,084",,,,,,
02/29/2024,BRK-B,"885,998,130,973","976,247,130,973",9.247,18.349,,2.025,1.576,
01/31/2024,BRK-B,"831,100,172,901","925,041,172,901",10.932,17.452,,2.083,1.579,
12/31/2023,BRK-B,"776,891,808,310","870,832,808,310",10.16,16.234,,1.936,1.468,
12/29/2023,BRK-B,"776,891,808,310","870,832,808,310",,,,,,
11/30/2023,BRK-B,"783,134,296,880","877,075,296,880",10.255,16.367,,1.954,1.484,
10/31/2023,BRK-B,"742,654,998,313","817,946,998,313",8.612,15.361,,1.859,1.369,
09/30/2023,BRK-B,"763,986,362,520","839,278,362,520",8.839,19.121,,1.908,1.407,
09/29/2023,BRK-B,"763,986,362,520","839,278,362,520",,,,,,
08/31/2023,BRK-B,"785,708,743,286","861,000,743,286",9.088,21.787,,1.962,1.448,
07/31/2023,BRK-B,"768,414,739,525","865,291,739,525",104.377,22.371,,2.708,1.514,
06/30/2023,BRK-B,"744,048,850,268","840,925,850,268",101.127,21.598,,2.624,1.467,
05/31/2023,BRK-B,"702,018,196,684","798,895,196,684",95.219,20.325,,2.47,1.384,
04/30/2023,BRK-B,"720,402,456,904","807,335,456,904",,22.321,,3.091,1.513,
03/31/2023,BRK-B,"673,078,388,794","760,011,388,794",,21.008,,2.905,1.422,
02/28/2023,BRK-B,"670,936,565,533","757,869,565,533",,20.747,,2.871,1.413,
01/31/2023,BRK-B,"685,487,902,598","769,357,902,598",,21.645,,2.714,1.498,
12/31/2022,BRK-B,"681,912,355,069","765,782,355,069",,21.459,,2.691,1.485,
12/30/2022,BRK-B,"681,912,355,069","765,782,355,069",,,,,,
11/30/2022,BRK-B,"701,451,047,762","785,321,047,762",,22.124,,2.775,1.537,
10/31/2022,BRK-B,"649,819,093,773","738,292,093,773",60.002,20.325,,2.469,1.406,
09/30/2022,BRK-B,"590,748,155,507","679,221,155,507",54.294,18.416,,2.234,1.273,
08/31/2022,BRK-B,"618,109,065,288","706,582,065,288",57.096,21.459,,2.349,1.34,
07/31/2022,BRK-B,"662,104,257,622","742,652,257,622",8.121,22.472,,1.909,1.302,
07/29/2022,BRK-B,"662,104,257,622","742,652,257,622",,,,,,
06/30/2022,BRK-B,"601,029,984,467","681,577,984,467",7.376,20.367,,1.734,1.183,
05/31/2022,BRK-B,"697,199,509,235","777,747,509,235",8.536,23.585,,2.007,1.372,
04/30/2022,BRK-B,"712,321,950,889","738,399,950,889",8.144,24.331,,2.062,1.407,
04/29/2022,BRK-B,"712,321,950,889","738,399,950,889",,,,,,
03/31/2022,BRK-B,"778,356,910,391","804,434,910,391",8.903,26.525,,2.254,1.538,
02/28/2022,BRK-B,"708,084,961,143","734,162,961,143",8.109,23.365,10.17,2.053,1.406,
01/31/2022,BRK-B,"693,867,101,894","738,843,101,894",8.455,22.779,9.904,2.073,1.468,
12/31/2021,BRK-B,"663,961,255,203","708,937,255,203",8.076,21.739,9.46,1.98,1.402,
11/30/2021,BRK-B,"619,096,243,747","664,072,243,747",7.474,20.121,8.754,1.833,1.308,
10/31/2021,BRK-B,"642,483,249,752","715,408,249,752",6.402,19.38,8.422,1.826,1.363,
10/29/2021,BRK-B,"642,483,249,752","715,408,249,752",,,,,,
09/30/2021,BRK-B,"612,511,240,443","685,436,240,443",6.088,18.416,8.009,1.737,1.299,
08/31/2021,BRK-B,"646,779,904,187","719,704,904,187",6.374,11.601,5.042,1.818,1.373,
07/31/2021,BRK-B,"630,007,987,399","684,484,987,399",6.426,25.575,,1.795,1.404,
07/30/2021,BRK-B,"630,007,987,399","684,484,987,399",,,,,,
06/30/2021,BRK-B,"631,075,624,803","685,552,624,803",6.418,25.575,,1.793,1.406,
05/31/2021,BRK-B,"662,126,670,348","716,603,670,348",6.684,26.596,,1.867,1.475,
04/30/2021,BRK-B,"627,911,881,593","696,816,881,593",15.465,25.253,,2.297,1.417,
03/31/2021,BRK-B,"586,232,968,236","655,137,968,236",14.369,23.474,,2.134,1.319,
03/17/2021,BRK-B,"580,502,857,707","655,263,857,707",,,,,,
03/02/2021,BRK-B,"575,080,611,644","661,344,611,644",,,,,,
02/28/2021,BRK-B,"554,950,054,235","635,824,054,235",16.366,22.422,,2.083,1.331,
02/26/2021,BRK-B,"554,950,054,235","635,824,054,235",,,,,,
01/31/2021,BRK-B,"529,211,062,836","610,085,062,836",15.506,21.231,,1.974,1.271,
01/29/2021,BRK-B,"529,211,062,836","610,085,062,836",,,,,,
12/31/2020,BRK-B,"537,003,440,385","617,877,440,385",15.778,21.598,,2.008,1.293,
12/24/2020,BRK-B,"531,454,507,072","617,718,507,072",,,,,,
12/18/2020,BRK-B,"525,671,015,269","611,935,015,269",,,,,,
